            Instance |     Method |               Status |      Value |      RAM |   Best (s) | Proved (s) | Solution                                                                        
                 355 |        lns |       open(improved) |      30404 |     0.05 |      48.95 |       N.A. | 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 4 4 4 4 4 4 4 4 4 4 0 7 8 8 3 6 6 6 6 4 4 8 0 5 3 3 6 6 6 6 3 1 2 0 0 2 2 2 2 8 8 7 1 7 2 2 2 0 0 3 1 2 1 1 1 7 5 0 0 0 3 1 8 8 8 0 0 3 1 1 7 7 7 1 1 7 5 5 5 3 3 1 7 5 5 
                 356 |        lns |       open(improved) |      27393 |     0.10 |     229.68 |       N.A. | 5 5 5 5 5 5 5 5 5 2 2 2 2 2 2 2 1 1 1 4 7 3 3 3 0 4 8 8 3 6 0 0 9 9 6 6 9 8 8 8 7 9 0 4 6 2 1 1 1 4 4 6 7 1 1 8 8 9 0 4 9 9 0 0 7 1 1 1 3 3 3 3 6 9 8 0 0 7 7 9 8 8 7 7 9 6 6 6 9 8 8 0 4 7 7 7 3 8 8 0 
                 357 |        lns |       open(improved) |      25146 |     0.02 |      33.33 |       N.A. | 5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 2 8 4 3 9 9 7 7 8 2 2 8 8 6 7 8 6 7 3 7 2 2 1 8 9 9 6 7 8 8 8 4 4 4 2 8 9 7 1 4 4 2 1 7 9 2 2 3 9 6 1 9 9 7 1 7 9 9 2 2 6 6 7 7 7 6 6 9 1 1 6 4 3 3 3 7 1 1 6 2 
                 358 |        lns |       open(improved) |      26012 |     0.19 |     214.89 |       N.A. | 7 7 7 7 7 7 7 7 1 1 1 1 1 1 1 1 1 1 1 1 1 3 4 9 6 0 3 8 9 2 6 4 4 4 4 5 6 9 2 4 4 4 4 4 5 5 9 9 8 5 5 0 0 0 6 9 5 9 8 3 9 6 0 0 0 8 5 5 5 6 8 3 9 3 3 2 2 2 2 2 6 8 8 8 3 9 3 8 3 3 9 6 3 5 5 6 6 3 3 8 
                 359 |        lns |       open(improved) |      27619 |     0.10 |     257.96 |       N.A. | 8 8 8 8 8 8 8 8 8 8 8 8 8 5 5 5 5 5 5 5 9 3 4 6 2 9 3 1 1 0 7 7 6 3 5 7 7 7 7 7 4 6 1 1 3 5 0 6 2 5 5 3 1 1 9 9 9 2 2 7 6 3 3 2 1 1 1 0 2 9 0 6 3 4 4 3 1 1 9 9 9 0 0 2 1 1 6 6 4 3 1 0 6 2 4 3 1 1 9 0 
                 360 |        lns |       open(improved) |      29703 |     0.10 |     108.32 |       N.A. | 6 6 6 6 6 6 6 9 9 9 9 9 9 9 9 9 9 9 9 9 8 5 1 4 0 5 5 8 2 1 8 9 2 2 5 3 1 4 2 2 1 7 7 4 4 2 8 8 8 7 4 4 0 5 5 5 2 2 7 3 7 7 3 3 3 3 3 8 3 3 2 5 8 8 4 4 4 0 0 1 8 8 1 2 7 7 3 2 8 0 1 1 0 0 0 7 8 1 1 2 
                 361 |        lns |       open(improved) |      30773 |     0.10 |     206.63 |       N.A. | 8 8 8 8 8 8 0 0 0 0 0 0 0 0 0 4 3 3 3 3 3 3 6 6 1 1 3 7 7 5 5 3 6 6 5 7 2 1 3 3 6 1 6 6 5 5 5 7 2 5 5 6 6 4 4 1 9 4 4 4 4 1 4 4 1 6 6 6 6 6 6 7 1 9 9 9 9 1 1 1 7 2 1 7 1 9 7 7 2 2 7 7 7 7 1 2 2 2 1 1 
                 362 |        lns |       open(improved) |      19083 |     0.05 |      61.48 |       N.A. | 6 6 6 6 6 6 6 6 6 6 6 0 0 0 0 0 0 0 0 0 9 2 2 2 3 9 4 4 5 3 3 5 2 2 2 9 8 3 3 1 4 5 5 9 8 7 5 1 8 1 2 2 1 1 9 9 9 4 1 8 7 4 3 3 5 9 4 5 5 4 3 7 2 9 3 5 2 2 3 1 5 9 7 7 1 4 4 1 1 5 5 3 3 3 1 1 4 5 3 1 
                 363 |        lns |       open(improved) |      33357 |     0.05 |      80.58 |       N.A. | 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 9 5 8 1 5 5 5 5 9 9 1 7 7 0 8 8 8 9 7 2 0 6 6 9 8 0 5 5 5 5 8 8 0 1 1 1 1 1 1 1 1 1 0 8 8 7 7 0 0 0 0 0 2 7 7 7 7 2 2 2 6 9 9 9 9 6 2 6 6 7 7 2 6 6 0 0 2 
                 364 |        lns |       open(improved) |      35698 |     0.05 |     104.94 |       N.A. | 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 0 0 0 0 7 4 4 8 6 9 9 9 9 8 8 6 0 0 8 0 4 6 6 0 0 0 7 1 6 9 9 9 9 4 6 3 0 0 0 7 1 9 9 9 9 4 8 6 3 8 8 8 7 7 7 7 1 1 3 3 4 4 8 6 6 6 3 3 1 1 1 6 6 3 3 4 7 6 6 6 6 1 1 1 6 
                 365 |        lns |       open(improved) |      29601 |     0.10 |     138.54 |       N.A. | 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 1 7 9 0 8 2 2 9 7 9 6 5 2 2 4 6 0 0 8 0 4 4 4 5 5 2 8 0 0 8 0 0 6 9 9 1 2 8 5 6 6 0 8 6 9 0 0 0 2 4 9 9 9 9 4 4 5 5 5 5 7 4 6 2 6 6 6 4 7 4 9 7 2 8 6 6 4 5 2 2 6 4 8 8 
                 366 |        lns |       open(improved) |      26266 |     0.05 |     152.95 |       N.A. | 3 3 3 3 3 3 7 7 7 7 7 7 7 7 7 7 7 7 7 2 1 9 0 2 6 1 4 9 6 1 2 2 8 5 1 1 7 5 5 4 9 9 9 8 8 1 6 5 5 5 9 0 5 6 6 1 4 4 4 4 4 4 9 6 5 2 8 6 0 0 0 6 6 6 8 1 6 6 6 6 8 8 2 2 8 1 9 1 1 2 6 9 9 8 1 1 0 0 8 1 
                 367 |        lns |       open(improved) |      44203 |     0.10 |     597.40 |       N.A. | 5 5 5 5 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 1 2 8 7 7 0 2 2 9 7 1 2 0 7 7 7 7 7 7 0 8 8 2 1 2 6 6 8 8 8 9 0 0 4 4 2 2 2 2 2 2 1 2 2 6 0 8 8 9 9 6 1 0 6 4 4 8 8 9 9 9 0 0 0 0 0 1 1 1 1 4 4 9 6 6 6 1 1 0 9 
                 368 |        lns |       open(improved) |      37073 |     0.10 |     115.23 |       N.A. | 3 3 3 3 3 3 3 3 3 3 3 3 8 8 8 8 8 8 5 5 1 2 2 1 9 2 2 1 4 2 0 7 9 9 1 5 7 6 5 2 2 2 1 1 8 8 8 8 8 4 0 2 2 2 1 9 4 4 0 6 0 7 1 0 7 4 4 4 4 0 0 0 7 5 5 5 6 6 7 1 0 7 7 0 0 0 6 6 1 1 7 7 1 6 6 1 1 1 1 1 
                 369 |        lns |       open(improved) |      32135 |     0.10 |     300.58 |       N.A. | 0 0 0 0 0 0 0 0 3 3 3 3 3 3 3 3 3 3 3 3 1 5 9 6 6 5 5 8 6 6 6 6 9 5 7 1 1 6 6 6 6 4 2 2 2 1 9 8 7 9 8 8 8 5 4 2 1 9 9 4 4 8 8 8 8 8 7 7 7 4 2 2 5 7 9 9 1 1 1 1 1 1 7 7 7 5 5 9 4 4 7 7 9 4 2 5 7 1 1 5 
                 370 |        lns |       open(improved) |      33432 |     0.10 |     254.80 |       N.A. | 4 4 4 4 4 4 4 4 4 4 4 0 0 0 0 0 0 0 0 0 6 6 1 7 7 7 8 0 0 9 1 2 2 5 5 2 6 1 3 3 7 7 7 2 9 9 9 7 7 7 8 5 9 7 7 7 8 5 6 6 1 1 7 5 1 2 6 5 6 9 9 9 2 2 2 2 2 1 1 8 8 8 5 1 3 3 3 5 5 5 1 1 5 5 2 9 7 3 3 9 
                 371 |        lns |       open(improved) |      23250 |     0.19 |     203.69 |       N.A. | 8 8 8 8 8 8 8 8 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 4 7 6 5 1 7 2 2 6 5 5 1 1 7 2 0 0 0 9 3 5 9 4 7 6 1 1 1 7 6 0 0 7 5 5 9 5 2 4 1 1 4 6 6 4 4 9 0 0 0 0 4 6 6 2 2 4 7 4 0 9 4 4 6 7 2 2 2 6 6 2 9 4 
                 372 |        lns |       open(improved) |      30481 |     0.10 |     251.81 |       N.A. | 0 0 0 0 0 0 0 0 5 5 5 5 5 5 5 5 5 5 5 4 8 7 7 9 6 6 5 3 5 5 5 2 9 8 7 7 5 5 3 5 5 4 4 2 6 6 6 6 8 6 6 1 4 7 7 7 7 7 7 1 4 9 3 4 4 8 8 3 9 7 7 7 9 4 4 4 2 2 6 1 1 8 3 3 8 8 1 3 1 4 4 4 4 4 2 3 1 1 8 8 
                 373 |        lns |       open(improved) |      31056 |     0.05 |      84.58 |       N.A. | 3 3 3 3 3 3 3 3 3 3 9 9 9 9 9 9 9 9 9 0 1 5 8 8 2 2 6 6 1 0 4 6 6 7 4 1 0 0 0 1 0 7 8 8 6 7 7 8 2 2 7 0 1 2 7 5 8 8 4 9 0 4 1 5 5 5 5 6 0 0 0 0 8 8 4 4 4 1 2 2 8 8 0 4 1 0 0 0 7 6 2 8 4 1 7 7 7 4 6 1 
                 374 |        lns |       open(improved) |      30183 |     0.10 |      49.92 |       N.A. | 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 9 9 9 1 8 5 4 5 7 7 4 5 1 9 9 9 9 9 3 3 6 9 3 3 1 6 4 8 8 8 8 5 5 5 5 5 3 3 1 8 8 8 8 8 8 5 3 3 3 7 6 8 1 7 5 8 8 1 1 8 8 3 3 1 8 5 5 3 1 7 4 4 6 6 6 3 4 4 4 5 5 1 1 
                 375 |        lns |       open(improved) |      30137 |     0.05 |      33.62 |       N.A. | 7 7 7 7 7 7 7 5 5 5 5 5 5 5 5 5 2 2 2 2 0 4 8 6 9 9 1 1 1 3 3 2 2 2 8 4 4 4 7 1 4 4 4 4 0 6 8 9 8 6 8 1 3 4 4 4 4 3 6 4 1 3 0 0 0 0 6 1 0 0 0 6 6 8 8 8 9 1 1 6 6 6 6 6 6 6 9 1 3 3 9 9 8 6 6 8 6 8 1 3 
                 376 |        lns |       open(improved) |      23568 |     0.10 |      26.96 |       N.A. | 5 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 2 2 6 1 8 8 7 9 0 3 1 8 8 3 3 9 8 3 7 7 6 6 6 6 1 2 9 6 1 3 3 3 7 0 3 4 2 6 8 0 4 4 7 3 4 4 4 9 8 6 9 1 2 2 7 8 8 8 8 3 9 9 3 3 9 9 9 1 1 1 1 0 3 3 3 7 7 7 0 0 9 7 0 0 
                 377 |        lns |       open(improved) |      39342 |     0.05 |     105.12 |       N.A. | 7 7 7 7 7 7 7 7 7 7 7 7 1 1 1 1 1 1 1 1 3 6 2 4 0 1 1 6 9 0 0 0 3 0 0 6 9 5 2 2 2 2 2 2 4 9 0 8 6 5 2 2 5 4 9 9 2 2 2 8 2 5 3 8 4 4 4 4 4 9 8 4 4 4 4 8 8 3 9 9 5 5 3 9 6 6 6 5 5 5 9 9 3 3 3 9 4 5 5 8 
                 379 |        lns |       open(improved) |      57434 |     0.10 |     161.53 |       N.A. | 9 9 9 9 9 9 9 0 0 0 0 0 0 0 0 0 7 5 5 5 5 5 4 3 7 7 8 7 5 5 8 6 5 5 5 5 5 2 2 6 7 2 8 8 4 4 4 8 7 7 2 8 8 8 8 6 2 2 6 4 3 4 4 4 4 4 7 7 7 7 7 6 6 8 8 3 3 2 2 1 8 6 1 1 1 1 1 3 8 8 2 2 6 6 1 2 2 8 6 1 
                 378 |        lns |       open(improved) |      38110 |     0.10 |     226.74 |       N.A. | 9 9 9 9 9 9 7 7 7 7 7 7 5 5 5 5 5 5 0 0 6 2 4 4 4 3 5 5 5 8 4 4 3 3 2 0 8 0 0 6 3 0 0 1 1 5 5 0 1 2 5 5 4 4 4 4 8 4 4 2 3 0 8 1 1 1 1 1 3 2 8 1 1 6 3 0 0 0 6 1 1 3 3 8 8 8 8 0 0 3 2 2 2 6 0 0 0 6 3 3 
                 380 |        lns |       open(improved) |      33158 |     0.10 |     194.36 |       N.A. | 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 7 7 7 7 7 6 6 4 4 1 9 5 7 7 5 9 2 1 1 4 4 9 9 6 6 5 2 2 1 9 5 5 2 2 0 0 2 2 5 2 2 9 5 2 2 2 2 2 8 2 9 0 0 1 1 8 5 9 9 9 9 9 9 9 8 8 8 8 8 5 0 0 0 1 1 5 0 0 1 1 1 0 0 8 
                 381 |        lns |       open(improved) |      28930 |     0.10 |     134.73 |       N.A. | 8 8 8 8 8 8 8 8 8 8 0 0 0 0 0 0 0 0 0 0 9 4 6 1 1 9 7 2 0 0 4 6 6 6 5 7 7 1 6 6 5 5 9 9 7 7 7 4 1 3 2 2 1 3 2 6 6 6 6 5 5 5 6 9 9 7 7 2 1 4 1 1 3 9 9 9 9 9 4 1 1 5 5 5 5 4 4 4 4 4 4 2 1 1 3 3 3 2 2 3 
                 382 |        lns |       open(improved) |      29790 |     0.10 |     245.42 |       N.A. | 9 9 9 9 9 0 0 0 0 0 0 0 0 0 0 0 0 0 6 3 1 4 4 4 4 3 7 7 7 6 1 1 1 4 4 4 5 5 8 8 6 6 6 1 1 4 4 4 4 4 5 3 2 7 7 1 1 4 8 2 7 7 6 6 4 8 4 7 7 7 7 6 6 1 5 3 3 3 8 8 8 2 2 2 2 3 3 1 1 1 8 5 6 6 3 1 1 2 5 3 
                 383 |        lns |       open(improved) |      43788 |     0.10 |     204.99 |       N.A. | 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 1 1 1 1 1 1 2 8 4 9 9 8 4 4 4 7 2 1 1 1 3 3 2 0 6 6 8 2 9 8 7 7 4 4 4 9 9 9 2 7 3 4 4 9 2 7 8 3 3 4 4 0 0 9 0 3 3 3 0 8 2 2 2 7 7 7 9 9 9 0 0 8 9 9 0 0 0 8 8 8 2 9 2 0 
                 385 |        lns |       open(improved) |      49545 |     0.10 |     217.74 |       N.A. | 7 7 7 7 7 7 7 0 0 0 0 0 0 0 3 3 3 3 3 3 8 5 3 8 6 8 1 1 2 8 3 3 3 9 8 6 6 9 4 1 6 6 6 5 4 6 6 9 4 6 5 9 6 2 2 9 9 5 2 2 2 2 2 9 5 2 2 2 2 1 5 5 5 4 1 1 1 1 1 1 1 4 4 4 8 9 9 4 8 8 8 5 5 5 8 4 4 4 9 9 
                 384 |        lns |       open(improved) |      31570 |     0.10 |     130.00 |       N.A. | 3 3 3 3 3 3 3 6 6 6 6 6 6 6 6 6 6 6 0 8 5 7 9 4 9 1 1 4 7 7 4 0 9 4 4 4 4 4 4 7 4 4 0 9 9 9 1 0 7 7 0 4 7 1 4 4 4 4 4 9 9 2 2 9 9 9 9 2 8 1 0 0 9 9 1 1 5 5 7 1 1 1 2 8 8 7 7 2 0 0 0 5 7 5 7 7 1 1 2 0 
                 386 |        lns |       open(improved) |      27090 |     0.19 |     533.97 |       N.A. | 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 3 3 3 5 5 5 9 1 0 9 0 7 1 9 8 0 5 9 5 5 9 9 3 5 5 5 5 5 7 9 9 8 6 6 1 6 0 8 4 4 4 4 8 3 3 3 3 0 1 1 1 1 1 1 8 6 6 9 1 9 7 0 0 6 8 0 9 9 8 0 9 7 8 0 0 0 9 9 8 8 0 
                 387 |        lns |       open(improved) |      26713 |     0.05 |      59.60 |       N.A. | 8 8 8 8 8 8 8 8 8 8 8 7 7 7 7 7 5 1 1 4 4 0 0 3 3 6 6 2 9 0 6 7 9 5 5 5 5 0 1 5 3 9 2 6 6 3 5 5 1 4 6 2 1 4 0 0 5 5 5 1 6 9 5 5 5 4 4 4 4 4 6 2 9 1 1 1 1 2 9 9 0 1 2 0 0 0 0 6 6 2 2 9 3 6 2 6 6 6 2 0 
                 388 |        lns |       open(improved) |      23609 |     0.02 |       2.68 |       N.A. | 6 6 6 6 6 6 6 6 6 9 9 9 9 9 9 9 9 1 1 1 3 7 1 5 5 5 4 4 7 8 0 3 5 5 2 2 0 3 3 5 5 9 0 3 1 1 3 8 3 7 7 2 3 1 1 1 5 5 7 8 1 1 3 4 4 2 3 8 8 0 0 4 4 4 3 0 5 5 5 5 5 0 2 2 0 3 8 2 2 2 5 0 3 5 5 2 8 0 0 3 
                 389 |        lns |       open(improved) |      61197 |     0.10 |     551.47 |       N.A. | 8 8 8 8 6 6 6 6 6 6 6 6 6 6 6 2 2 2 2 2 2 2 9 4 7 1 5 5 3 3 3 4 0 5 3 3 3 3 3 4 0 2 9 9 1 2 0 2 7 9 9 3 3 3 4 4 0 0 5 7 7 9 9 1 1 2 0 7 7 5 9 1 1 0 9 9 4 0 0 7 7 1 1 4 4 0 0 7 5 9 1 4 0 0 1 9 3 0 7 5 
                 390 |        lns |       open(improved) |      28080 |     0.10 |     158.72 |       N.A. | 4 4 4 4 4 4 4 4 4 4 4 8 3 3 3 3 3 3 3 3 3 2 1 5 5 6 7 7 3 3 7 6 6 6 9 3 3 3 8 0 9 6 9 6 2 2 2 8 8 8 8 6 1 1 5 6 0 6 6 0 9 7 5 5 2 2 0 6 9 9 0 2 2 6 6 9 7 7 7 7 9 9 9 1 5 5 5 6 6 9 0 0 7 1 6 7 7 6 0 0 
                 391 |        lns |       open(improved) |      31819 |     0.05 |     126.94 |       N.A. | 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 7 7 7 7 4 9 7 7 4 3 2 7 3 1 2 3 3 9 9 6 6 4 4 8 7 7 1 8 7 7 7 2 2 3 9 4 2 2 1 6 7 4 4 1 2 2 8 2 2 1 1 6 2 8 8 2 2 1 4 4 4 8 8 6 9 3 1 6 6 9 8 8 3 1 6 4 8 1 1 1 9 3 3 9 
                 392 |        lns |       open(improved) |      51657 |     0.10 |     255.40 |       N.A. | 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 2 9 4 4 4 4 4 4 8 8 4 4 4 4 5 3 4 4 4 1 3 3 1 5 9 9 9 9 5 1 5 9 9 9 9 2 8 8 0 5 5 9 9 2 2 1 1 0 2 2 2 1 1 1 1 2 2 2 8 8 1 1 5 8 3 0 0 0 0 0 0 1 1 1 1 1 1 5 3 0 1 1 3 3 5 
                 393 |        lns |       open(improved) |      40388 |     0.05 |     184.82 |       N.A. | 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 1 6 9 7 7 7 7 7 0 1 4 9 0 7 7 5 5 6 1 4 7 0 8 9 9 9 0 6 6 6 6 6 5 6 1 4 8 9 9 0 6 6 6 5 6 6 4 4 1 1 1 1 5 5 8 8 0 0 0 0 0 0 0 8 8 8 8 8 5 5 5 0 0 0 0 0 8 8 5 5 
                 395 |        lns |       open(improved) |      25488 |     0.10 |      95.34 |       N.A. | 3 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 1 6 2 8 8 0 0 0 2 1 1 8 8 9 8 5 5 5 9 1 6 4 6 8 9 6 6 7 8 2 1 1 4 9 9 8 8 0 0 9 8 1 6 6 6 2 2 9 9 2 2 2 2 1 1 1 1 7 7 4 9 9 8 7 7 4 1 1 9 9 8 4 4 9 1 8 0 2 1 4 
                 394 |        lns |       open(improved) |      36288 |     0.10 |     305.53 |       N.A. | 6 6 6 6 6 6 6 6 6 6 0 0 0 0 0 0 0 0 4 9 5 1 2 8 3 3 9 5 4 4 4 4 7 2 4 8 8 8 3 9 1 7 7 2 2 8 1 1 4 4 4 8 5 9 3 3 8 5 1 1 1 1 2 9 9 9 9 9 3 7 1 1 2 2 2 2 8 8 8 8 8 5 5 2 7 9 9 5 3 3 3 9 9 9 9 3 2 8 8 5 
                 397 |        lns |       open(improved) |      29444 |     0.10 |      34.45 |       N.A. | 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 9 2 4 5 5 5 1 8 6 5 9 1 7 5 5 5 1 7 7 7 5 5 5 5 5 7 3 6 4 4 4 3 6 9 3 6 1 7 7 9 4 4 1 4 4 4 6 6 6 8 3 6 1 7 8 6 6 6 6 6 7 1 1 3 9 7 7 9 3 3 8 1 1 1 7 7 8 8 9 3 
                 396 |        lns |       open(improved) |      26447 |     0.10 |     127.39 |       N.A. | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 9 9 9 9 9 3 6 7 1 3 4 4 7 3 5 5 2 7 9 9 5 6 7 2 6 6 6 7 4 4 2 8 8 5 1 9 6 1 5 6 6 1 1 3 7 9 3 4 4 8 3 3 6 6 8 4 5 6 6 6 6 2 2 3 5 4 1 1 1 1 8 5 8 7 6 8 5 4 7 7 8 8 5 4 2 
                 399 |        lns |       open(improved) |      34808 |     0.05 |     104.80 |       N.A. | 6 6 6 6 6 6 6 6 6 6 6 4 4 4 4 4 4 4 4 9 9 9 9 0 9 2 7 9 9 8 8 7 0 5 2 1 3 3 3 3 3 3 3 5 0 0 2 2 2 2 5 3 3 8 8 8 8 1 1 2 7 8 8 8 7 7 5 8 8 1 1 1 1 7 2 2 2 0 5 1 1 1 7 0 5 5 2 2 7 0 5 2 2 2 0 0 0 5 5 0 
                 398 |        lns |       open(improved) |      30170 |     0.10 |     172.88 |       N.A. | 7 7 7 7 7 7 7 7 7 7 7 7 7 7 9 9 9 4 4 2 8 3 1 1 5 5 9 0 2 2 1 6 2 8 8 9 0 0 0 6 3 3 1 9 7 8 8 6 4 4 4 4 4 4 4 4 0 0 3 5 9 0 0 0 0 0 0 1 1 8 5 5 5 3 8 8 8 8 5 1 0 3 2 1 6 8 3 3 2 1 1 1 2 3 3 3 2 2 1 1 
                 400 |        lns |       open(improved) |      49700 |     0.10 |     374.38 |       N.A. | 4 4 4 4 4 4 4 4 4 4 4 4 9 9 9 6 6 6 2 3 5 1 0 0 5 1 6 6 6 6 6 6 6 6 5 0 0 8 2 1 1 6 8 8 3 3 3 3 5 5 0 0 2 2 5 3 3 3 3 3 3 3 1 1 7 7 7 7 7 0 0 0 1 2 2 2 0 0 0 8 5 1 1 1 2 2 8 5 5 0 0 1 2 8 8 8 5 5 1 2 
                 401 |        lns |       open(improved) |      17678 |     0.79 |     426.70 |       N.A. | 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 7 5 5 5 5 2 2 8 8 9 8 8 3 2 2 2 9 0 0 4 4 2 3 3 3 4 4 4 9 9 7 7 0 0 6 2 2 3 6 6 4 4 4 4 6 6 0 0 5 5 5 5 5 5 8 3 9 6 7 7 7 0 0 0 6 6 2 2 3 3 3 3 8 8 6 6 2 3 3 6 6 2 8 0 5 
                 402 |        lns |       open(improved) |      25904 |     0.81 |     589.00 |       N.A. | 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5 5 5 5 5 5 4 8 9 9 0 7 3 3 3 3 3 8 4 4 4 4 0 0 0 7 7 7 9 9 1 1 1 3 3 3 3 3 6 6 8 8 8 8 8 9 9 9 9 9 9 9 9 9 6 1 1 1 1 8 8 8 8 7 7 4 4 4 4 4 6 7 0 1 1 8 0 7 1 8 6 0 0 6 
                 403 |        lns |       open(improved) |      25592 |     0.40 |     506.72 |       N.A. | 7 7 7 7 7 0 0 0 0 0 0 0 3 3 3 3 3 3 9 9 9 6 6 4 1 1 1 5 5 3 3 3 3 3 3 3 3 3 8 5 9 9 9 9 9 9 9 9 2 1 1 1 1 6 6 8 2 5 5 4 1 1 1 5 5 5 4 4 8 8 1 1 1 1 5 6 8 6 6 6 6 8 8 6 6 8 6 4 5 2 4 8 4 4 4 4 5 2 8 2 
                 404 |        lns |       open(improved) |      29634 |     0.40 |     541.27 |       N.A. | 4 4 4 4 4 4 4 4 4 4 0 0 0 0 0 0 0 0 0 0 0 1 8 2 5 0 0 0 9 9 9 9 3 3 5 5 5 5 2 2 2 2 2 2 2 3 3 1 1 6 6 8 7 7 7 7 9 9 3 3 3 3 5 5 5 5 8 8 8 8 8 6 6 7 7 7 3 3 1 1 3 6 6 6 8 8 1 5 5 5 7 5 6 6 7 3 6 6 6 1 
                 405 |        lns |       open(improved) |      18579 |     0.81 |     475.50 |       N.A. | 8 8 8 8 8 8 8 8 1 1 1 1 1 1 1 1 1 1 3 3 4 9 9 9 0 2 6 6 0 0 1 1 1 1 1 2 2 2 4 3 3 3 0 7 5 5 5 0 9 9 9 9 9 2 7 4 4 4 9 9 9 9 9 6 0 2 2 7 7 5 3 6 6 2 2 2 2 3 3 4 5 5 5 5 5 3 0 2 7 7 3 3 0 4 4 2 5 6 4 2 
                 406 |        lns |       open(improved) |      19788 |     0.40 |     567.03 |       N.A. | 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 5 5 5 4 4 4 4 8 9 9 6 6 6 0 0 8 6 1 1 9 5 5 0 0 4 4 4 6 9 7 4 0 7 7 7 9 6 5 5 5 5 5 0 9 9 7 7 5 5 5 5 6 6 6 6 6 1 8 8 6 0 7 9 8 8 7 7 1 1 9 1 9 0 6 1 0 1 0 0 9 1 0 
                 407 |        lns |       open(improved) |      21360 |     0.40 |     527.79 |       N.A. | 6 6 6 6 6 6 6 6 6 6 1 1 1 1 1 1 1 1 1 1 1 3 0 4 4 9 2 3 0 7 5 5 5 5 5 9 9 7 0 2 3 3 8 5 5 2 2 2 3 9 9 7 0 0 0 0 4 4 4 4 8 8 8 8 8 8 8 7 3 3 3 2 2 9 9 9 9 0 0 2 2 3 3 9 4 4 2 3 3 7 8 0 9 4 4 7 3 7 2 3 
                 408 |        lns |       open(improved) |      29337 |     0.20 |     579.86 |       N.A. | 5 5 5 5 5 5 5 5 5 5 5 5 5 2 2 2 2 2 2 2 2 7 4 9 9 9 6 6 6 6 3 2 2 2 2 2 7 7 3 3 8 4 4 4 4 4 9 9 9 9 9 9 1 1 1 1 3 3 3 8 8 8 8 8 8 8 8 8 7 7 7 7 7 7 7 3 3 3 9 9 9 9 0 0 3 4 4 4 4 4 4 1 0 0 1 3 0 0 0 0 
                 409 |        lns |       open(improved) |      19885 |     0.41 |     502.91 |       N.A. | 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 3 3 3 3 0 0 0 8 4 5 5 1 2 2 9 5 5 4 4 0 0 8 8 5 1 0 0 5 3 3 3 3 3 3 1 5 1 1 9 8 0 0 2 2 2 2 4 4 4 4 9 1 1 8 2 4 4 4 4 4 4 5 8 8 9 9 9 5 0 9 5 9 0 8 1 9 8 1 8 1 0 5 
                 411 |        lns |       open(improved) |      18190 |     0.40 |     554.40 |       N.A. | 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 6 4 9 9 9 7 8 8 4 4 4 4 4 9 0 0 2 8 1 1 1 0 0 0 9 9 3 3 8 6 6 7 7 7 7 7 7 8 2 2 4 4 9 9 2 2 2 8 0 9 9 9 6 6 6 8 8 8 8 1 9 9 2 2 2 2 1 1 9 9 8 7 8 6 1 0 0 1 9 1 2 
                 410 |        lns |       open(improved) |      19157 |     0.81 |     421.49 |       N.A. | 4 4 4 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 7 2 2 2 8 9 9 5 5 5 5 3 8 6 6 6 3 3 3 3 2 8 9 9 9 9 9 9 8 1 2 2 7 7 7 6 6 5 5 5 5 5 5 5 5 1 2 8 6 6 6 6 6 8 3 7 1 1 2 2 2 3 3 3 7 2 2 1 1 1 7 8 2 1 7 2 6 7 8 2 3 1 
